[2026-08-11 12:44:31] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-11 12:44:45] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-11 12:44:58] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:44:58] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:10] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:45:10] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:14] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:45:14] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:18] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:45:18] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:30] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:45:30] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:42] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:45:42] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:45:55] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:45:55] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:07] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:46:07] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:11] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:46:11] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:24] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:46:24] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:30] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:46:30] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:44] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:46:44] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:46:48] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:46:48] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:47:04] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:47:04] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:47:08] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:47:08] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:47:13] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows
[2026-08-11 12:47:13] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:47:17] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:47:17] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-11 12:47:31] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-11 12:47:31] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-12 13:57:14] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-12 14:39:57] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-12 14:41:11] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-12 14:43:43] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-12 14:44:03] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
[2026-08-12 14:44:21] INFO     | exadata_top_db_parser | ✅ Parsed 1 Top DB rows | HIGH IORM: ['EXADB']
[2026-08-12 14:44:21] INFO     | exadata_top_db_parser | ✅ Inserted 1 rows into awr_exadata_top_db
[2026-08-12 14:44:33] WARNING  | exadata_top_db_parser | ⚠️  Top Databases section not found
