[2026-07-20 12:52:26] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:52:26] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:52:26] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:52:41] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:52:41] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:52:41] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:53:46] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:53:46] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:53:46] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:55:05] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:55:05] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:55:05] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:55:18] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:55:18] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:55:18] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:56:18] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:56:18] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:56:18] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:57:40] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:57:40] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:57:40] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 12:57:56] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 12:57:56] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 12:57:57] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 13:43:06] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 13:43:06] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 13:43:06] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 14:03:16] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 14:03:16] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 14:03:16] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 15:53:11] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 15:53:11] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 15:53:11] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
[2026-07-20 15:56:46] INFO     | awr_seg_phy_read_req_parser | Found 5 rows in Segments by Physical Read Requests section
[2026-07-20 15:56:46] INFO     | awr_seg_phy_read_req_parser | ✅ Parsed 5 Segments by Physical Read Requests records
[2026-07-20 15:56:46] INFO     | awr_seg_phy_read_req_parser | ✅ Inserted 5 rows into awr_seg_phy_read_req
