[2026-08-11 12:44:30] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:44:44] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:44:57] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:10] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:14] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:17] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:29] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:42] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:45:54] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:07] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:10] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:24] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:29] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:44] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:46:48] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:47:03] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:47:08] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:47:13] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:47:16] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-11 12:47:31] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-12 13:57:08] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-12 14:39:52] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-12 14:41:06] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
[2026-08-12 14:43:42] INFO     | exadata_fc_writes_parser | ✅ FC Writes: 0 rows | Rejections: 0 (0 total) | Internal: 0
