[2026-07-20 12:52:43] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:52:43] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:52:43] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:53:16] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:53:16] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:53:16] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:54:03] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:54:03] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:54:03] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:55:20] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:55:20] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:55:21] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:55:55] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:55:55] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:55:55] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:56:35] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:56:35] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:56:35] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:57:57] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:57:57] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:57:57] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 12:58:34] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 12:58:34] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 12:58:34] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 13:43:42] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 13:43:42] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 13:43:42] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 14:03:35] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 14:03:35] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 14:03:35] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 15:53:28] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 15:53:28] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 15:53:28] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
[2026-07-20 15:57:02] INFO     | awr_seg_Physical_reads_parser | Found 5 rows in Segments by Physical Reads section
[2026-07-20 15:57:02] INFO     | awr_seg_Physical_reads_parser | ✅ Parsed 5 Segments by Physical Reads records
[2026-07-20 15:57:02] INFO     | awr_seg_Physical_reads_parser | ✅ Inserted 5 rows into awr_seg_phy_reads
